Job_Title,Industry,Experience_In_Current_Role,Annual_Compensation,ML_In_Use
Software Engineer,Computers/Technology,0-1,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Data Analyst,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Insurance/Risk Assessment,1-2,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,Academics/Education,3-4,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Business Analyst,Computers/Technology,10-15,"50-60,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Scientist,Computers/Technology,5-10,"50-60,000",We use ML methods for generating insights (but do not put working models into production)
Not employed,,0,,
Data Scientist,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,4-5,"0-10,000",No (we do not use ML methods)
Not employed,,0,,
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,0,,I do not know
Data Analyst,Energy/Mining,2-3,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Energy/Mining,4-5,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Government/Public Service,5-10,"70-80,000",We use ML methods for generating insights (but do not put working models into production)
Student,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Manager,Academics/Education,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,1-2,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Manager,Computers/Technology,0-1,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Other,Broadcasting/Communications,0-1,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Engineer,Online Service/Internet-based Services,2-3,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Academics/Education,0-1,"0-10,000",No (we do not use ML methods)
Software Engineer,Retail/Sales,0-1,"0-10,000",No (we do not use ML methods)
Student,I am a student,15-20,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,2-3,"0-10,000",I do not know
Data Scientist,I am a student,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Salesperson,Computers/Technology,10-15,"70-80,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Broadcasting/Communications,10-15,"0-10,000",I do not know
Research Assistant,Computers/Technology,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,15-20,I do not wish to disclose my approximate yearly compensation,I do not know
Research Scientist,Military/Security/Defense,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Other,Computers/Technology,1-2,,We are exploring ML methods (and may one day put a model into production)
Consultant,Computers/Technology,10-15,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Data Analyst,Computers/Technology,1-2,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Academics/Education,10-15,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Business Analyst,Insurance/Risk Assessment,0,,I do not know
Software Engineer,Computers/Technology,3-4,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,,We use ML methods for generating insights (but do not put working models into production)
Other,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Engineer,Computers/Technology,2-3,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Energy/Mining,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Other,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,5-10,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0,"0-10,000",I do not know
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Business Analyst,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Data Analyst,Non-profit/Service,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Other,3-4,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
